id,pipeline,faithfulness,answer_relevancy,context_precision,context_recall,n_contexts
RQ-001,gemini_only,nan,0.778340756893158,nan,nan,0
RQ-002,gemini_only,nan,0.8908368349075317,nan,nan,0
RQ-003,gemini_only,nan,0.8725140690803528,nan,nan,0
RQ-004,gemini_only,nan,0.8422563076019287,nan,nan,0
RQ-005,gemini_only,nan,0.8428552150726318,nan,nan,0
RQ-006,gemini_only,nan,0.9385588765144348,nan,nan,0
RQ-007,gemini_only,nan,0.6276726722717285,nan,nan,0
RQ-008,gemini_only,nan,0.5565617680549622,nan,nan,0
RQ-009,gemini_only,nan,0.5536253452301025,nan,nan,0
RQ-010,gemini_only,nan,0.5638023018836975,nan,nan,0
RQ-011,gemini_only,nan,0.4146023392677307,nan,nan,0
RQ-012,gemini_only,nan,nan,nan,nan,0
RQ-013,gemini_only,nan,nan,nan,nan,0
RQ-014,gemini_only,nan,nan,nan,nan,0
RQ-015,gemini_only,nan,0.6582136154174805,nan,nan,0
RQ-016,gemini_only,nan,0.8355794548988342,nan,nan,0
RQ-017,gemini_only,nan,0.5646722316741943,nan,nan,0
RQ-018,gemini_only,nan,0.728502631187439,nan,nan,0
RQ-019,gemini_only,nan,0.5660291910171509,nan,nan,0
RQ-020,gemini_only,nan,0.9642995595932007,nan,nan,0
RQ-021,gemini_only,nan,0.7641675472259521,nan,nan,0
RQ-022,gemini_only,nan,0.5488793849945068,nan,nan,0
RQ-023,gemini_only,nan,0.6771988868713379,nan,nan,0
RQ-024,gemini_only,nan,0.6952722072601318,nan,nan,0
RQ-025,gemini_only,nan,0.6311453580856323,nan,nan,0
