id,pipeline,f1,rouge_l,citation_f1,latency
RQ-001,gemini_only,0.45098039215686275,0.462425840474621,0.0,7.381862930007628
RQ-002,gemini_only,0.5655172413793104,0.5708937763219466,0.0,15.746253518998856
RQ-003,gemini_only,0.6206896551724138,0.38353293413173656,0.0,4.239664862994687
RQ-004,gemini_only,0.3866666666666666,0.38598546988516524,0.0,11.778418668996892
RQ-005,gemini_only,0.5815602836879432,0.4713837237382275,0.0,9.428280236999854
RQ-006,gemini_only,0.48192771084337355,0.4931914893617021,0.0,10.645668072000262
RQ-007,gemini_only,0.4285714285714286,0.3715857732363922,0.0,9.649655580986291
RQ-008,gemini_only,0.4121621621621621,0.3758471965495995,0.0,6.8267374580027536
RQ-009,gemini_only,0.5523809523809524,0.37411233053582954,0.0,8.56437761799316
RQ-010,gemini_only,0.25925925925925924,0.19910979228486644,0.0,9.407605237007374
RQ-011,gemini_only,0.14516129032258063,0.10275126333520494,0.0,6.91079596200143
RQ-012,gemini_only,0.29591836734693877,0.2579518293804008,0.0,7.393399812994176
RQ-013,gemini_only,0.07874015748031496,0.08541024922990759,0.0,7.097750115994131
RQ-014,gemini_only,0.24999999999999994,0.23200702165008782,0.0,11.888001106999582
RQ-015,gemini_only,0.6,0.5345940959409594,0.0,7.734280596007011
RQ-016,gemini_only,0.5481481481481483,0.4715279567121876,0.0,8.913559592998354
RQ-017,gemini_only,0.2898550724637681,0.22858672376873657,0.0,22.40110280799854
RQ-018,gemini_only,0.29545454545454547,0.21974994702267428,0.0,7.575171650998527
RQ-019,gemini_only,0.28169014084507044,0.2525008623663332,0.0,7.55338643900177
RQ-020,gemini_only,0.5454545454545454,0.3388888888888889,0.0,8.303329811998992
RQ-021,gemini_only,0.2898550724637681,0.30004918839153966,1.0,4.907916134005063
RQ-022,gemini_only,0.4358974358974359,0.2455277280858676,1.0,7.465825149993179
RQ-023,gemini_only,0.5333333333333333,0.37112831858407075,1.0,9.688801120995777
RQ-024,gemini_only,0.12546125461254612,0.07703100883962397,1.0,6.5609505950124
RQ-025,gemini_only,0.3783783783783784,0.3010858835143139,1.0,7.078884381990065
RQ-001,vanilla_rag,0.07272727272727272,0.0328133405056482,0.0,6.083617595999385
RQ-002,vanilla_rag,0.7972027972027973,0.5632102272727272,0.06060606060606061,12.27318443499098
RQ-003,vanilla_rag,0.17727272727272725,0.20795454545454548,0.05714285714285715,13.02901013099472
RQ-004,vanilla_rag,0.0,0.0,0.0,12.005002636986319
RQ-005,vanilla_rag,0.3515151515151515,0.29592912887576456,0.16666666666666669,7.542070420997334
RQ-006,vanilla_rag,0.032786885245901634,0.029397590361445784,0.0,5.950581486002193
RQ-007,vanilla_rag,0.18493150684931506,0.13228728154101288,0.15384615384615385,7.8099303859926295
